epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3271,0.6149,1.48533,4.09379,0.00408,2.79333,0.00793,0.95968,0.52065,0.47178,0.00807,0.97581,0.52173,0.49202,0.41497,0.7347,5.72685,0.0037,0,0.000643678,0.000643678,0.000643678
2,21.5904,0.63217,0.50196,2.9047,0.00433,0.35501,0.18631,0.91935,0.69643,0.59815,0.18304,0.90323,0.64631,0.5281,0.54381,2.4579,5.4677,0.00524,0,0.00129737,0.00129737,0.00129737
3,26.7447,0.75947,0.48639,2.56756,0.00553,0.3083,0.92554,0.5012,0.86023,0.71482,0.92554,0.5012,0.84272,0.74431,0.69359,1.2717,4.60976,0.00698,0,0.00193787,0.00193787,0.00193787
4,31.841,0.75924,0.5596,2.16133,0.00575,0.17735,0.79393,0.73387,0.84955,0.66685,0.7852,0.72581,0.84453,0.62452,0.85462,1.66057,3.31283,0.00867,0,0.0019406,0.0019406,0.0019406
5,36.9641,0.67642,0.49066,1.67904,0.00493,0.15527,0.88393,0.81452,0.91775,0.78136,0.88393,0.81452,0.91775,0.84354,0.67868,0.52755,2.24284,0.00673,0,0.0019208,0.0019208,0.0019208
6,42.0572,0.66147,0.47312,1.45791,0.00516,0.11357,0.79348,0.86758,0.92262,0.74236,0.79348,0.86758,0.92286,0.80143,0.7963,0.45199,1.9373,0.00898,0,0.001901,0.001901,0.001901
7,47.0868,0.67997,0.40705,1.18523,0.00508,0.19357,0.87565,0.78226,0.92038,0.81917,0.87565,0.78226,0.9226,0.87733,0.55876,0.39261,1.53539,0.00648,0,0.0018812,0.0018812,0.0018812
8,52.1373,0.64242,0.40614,1.03986,0.00503,0.0843,0.94395,0.81488,0.95335,0.82427,0.94509,0.8329,0.95388,0.89259,0.63236,0.39372,1.24925,0.00682,0,0.0018614,0.0018614,0.0018614
9,57.2341,0.61364,0.38921,0.92325,0.00458,0.10649,0.906,0.81452,0.93284,0.84237,0.906,0.81452,0.93326,0.86139,0.49824,0.39284,1.1241,0.00547,0,0.0018416,0.0018416,0.0018416
10,62.243,0.54864,0.35254,0.75086,0.00412,0.09088,0.90616,0.8871,0.95119,0.8571,0.89607,0.8871,0.95176,0.89743,0.51833,0.35935,0.92957,0.00625,0,0.0018218,0.0018218,0.0018218
