epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5625,0.66913,1.63367,3.81172,0.00486,2.95073,0.00993,0.87647,0.35736,0.29345,0.01053,0.92941,0.35826,0.32282,0.61466,1.13085,4.93483,0.00546,0,0.000643678,0.000643678,0.000643678
2,20.7361,0.73487,0.83456,2.96289,0.00563,0.44408,0.0104,0.91765,0.554,0.44378,0.01053,0.92941,0.55068,0.4805,0.69354,1.51507,4.75713,0.00674,0,0.00129737,0.00129737,0.00129737
3,25.9669,0.76073,0.80416,2.28851,0.00618,0.208,0.85861,0.21436,0.67058,0.51952,0.85861,0.21436,0.67534,0.54722,0.77399,1.39229,4.17215,0.0077,0,0.00193787,0.00193787,0.00193787
4,31.1304,0.87357,0.79992,2.02838,0.00723,0.21316,0.73881,0.69412,0.76016,0.60283,0.72493,0.68824,0.74371,0.58843,0.85407,1.743,2.79548,0.00848,0,0.0019406,0.0019406,0.0019406
5,36.2632,0.7516,0.78904,1.64625,0.00578,0.20389,0.86749,0.66471,0.82539,0.62629,0.84446,0.64706,0.79585,0.63565,0.954,1.47107,2.15337,0.0102,0,0.0019208,0.0019208,0.0019208
6,41.4546,0.79399,0.71056,1.41752,0.00655,0.12998,0.822,0.76063,0.84497,0.68112,0.87282,0.66471,0.82245,0.68469,0.84032,1.7369,1.70716,0.00892,0,0.001901,0.001901,0.001901
7,46.6229,0.78805,0.74167,1.20185,0.00616,0.19147,0.79179,0.81176,0.86714,0.7153,0.77189,0.81609,0.85774,0.75033,0.83028,1.00047,1.40047,0.00847,0,0.0018812,0.0018812,0.0018812
8,51.7129,0.72115,0.62432,1.04613,0.00585,0.13497,0.87628,0.79164,0.88269,0.7207,0.8828,0.79752,0.88857,0.75927,0.84105,0.94767,1.28787,0.0088,0,0.0018614,0.0018614,0.0018614
9,56.7731,0.73924,0.62358,0.94992,0.00613,0.15835,0.82997,0.77059,0.85103,0.7266,0.81792,0.79274,0.87565,0.75246,0.70709,1.03851,1.19913,0.00728,0,0.0018416,0.0018416,0.0018416
10,61.9072,0.68967,0.67055,0.88576,0.00558,0.11953,0.87385,0.7742,0.87223,0.72704,0.87262,0.76563,0.87348,0.74863,0.75577,0.94311,1.26192,0.00791,0,0.0018218,0.0018218,0.0018218
11,66.9821,0.6919,0.66051,0.81577,0.00544,0.15767,0.84973,0.85294,0.89858,0.77699,0.8549,0.85882,0.90621,0.80745,0.69082,0.80136,0.89832,0.00676,0,0.001802,0.001802,0.001802
12,72.1568,0.63625,0.59763,0.71564,0.00497,0.12492,0.86952,0.88824,0.91757,0.76909,0.86376,0.88235,0.9119,0.81106,0.72281,0.84038,0.80137,0.0076,0,0.0017822,0.0017822,0.0017822
13,77.3382,0.64208,0.64544,0.69539,0.00517,0.10809,0.84113,0.87202,0.89249,0.7744,0.83541,0.86584,0.89717,0.7871,0.65834,0.98944,0.84298,0.00701,0,0.0017624,0.0017624,0.0017624
14,82.3941,0.66442,0.62896,0.63992,0.00566,0.10874,0.79226,0.80764,0.86476,0.74694,0.85256,0.7483,0.87043,0.75615,0.66592,0.84794,0.88013,0.00715,0,0.0017426,0.0017426,0.0017426
15,87.5023,0.63628,0.58344,0.61896,0.00523,0.14545,0.8574,0.8135,0.88989,0.74759,0.85587,0.84118,0.90693,0.79973,0.80019,0.75719,0.81146,0.00892,0,0.0017228,0.0017228,0.0017228
16,92.6576,0.61963,0.56419,0.58209,0.005,0.10228,0.95143,0.80653,0.91504,0.74566,0.94449,0.80065,0.91647,0.83269,0.78715,0.85679,0.75567,0.00833,0,0.001703,0.001703,0.001703
17,97.7151,0.65298,0.61338,0.56744,0.00487,0.1109,0.90291,0.8206,0.90401,0.77762,0.90939,0.82648,0.91616,0.81361,0.70496,0.90932,0.67047,0.00715,0,0.0016832,0.0016832,0.0016832
18,102.794,0.65713,0.56872,0.54978,0.00524,0.12576,0.92931,0.86471,0.93023,0.7811,0.9332,0.87059,0.93787,0.85053,0.70977,0.66175,0.62151,0.00687,0,0.0016634,0.0016634,0.0016634
19,107.852,0.59368,0.52373,0.48884,0.00479,0.10051,0.92508,0.84118,0.92646,0.79808,0.92508,0.84118,0.93699,0.80837,0.6782,0.79928,0.62921,0.00684,0,0.0016436,0.0016436,0.0016436
20,112.982,0.59302,0.54047,0.48272,0.00469,0.1225,0.96095,0.86864,0.93834,0.79749,0.96095,0.86864,0.94641,0.84537,0.70086,0.74274,0.55258,0.00786,0,0.0016238,0.0016238,0.0016238
21,118.081,0.57851,0.49778,0.47141,0.00442,0.12,0.87333,0.87059,0.92747,0.80011,0.87333,0.87059,0.9268,0.82738,0.69091,0.74217,0.56489,0.00683,0,0.001604,0.001604,0.001604
22,123.133,0.61055,0.55034,0.48574,0.00492,0.10075,0.94589,0.86471,0.93828,0.82509,0.93604,0.86088,0.93838,0.86481,0.62498,0.70962,0.51092,0.00561,0,0.0015842,0.0015842,0.0015842
23,128.293,0.57727,0.49783,0.41849,0.00416,0.1035,0.94428,0.89721,0.95188,0.82521,0.93809,0.89132,0.95219,0.84512,0.63789,0.62069,0.49507,0.0057,0,0.0015644,0.0015644,0.0015644
24,133.468,0.57187,0.46675,0.42634,0.0042,0.0978,0.94125,0.84818,0.92215,0.79548,0.95467,0.86729,0.93408,0.79507,0.64081,0.83206,0.64193,0.00669,0,0.0015446,0.0015446,0.0015446
25,138.623,0.58083,0.51245,0.45825,0.00496,0.09227,0.9546,0.86586,0.92336,0.79404,0.9546,0.86586,0.93105,0.83984,0.68295,0.93444,0.59239,0.00693,0,0.0015248,0.0015248,0.0015248
26,143.778,0.57764,0.53603,0.42098,0.00454,0.08738,0.8667,0.88824,0.92814,0.80086,0.8726,0.89412,0.93434,0.83128,0.63786,0.6867,0.55906,0.00625,0,0.001505,0.001505,0.001505
27,148.993,0.55129,0.5131,0.39537,0.00428,0.08781,0.93181,0.86471,0.94156,0.84452,0.93181,0.86471,0.9425,0.83841,0.55055,0.64312,0.49001,0.00525,0,0.0014852,0.0014852,0.0014852
28,154.114,0.55518,0.53367,0.40621,0.00485,0.09689,0.96675,0.85525,0.93366,0.8002,0.96675,0.85525,0.93348,0.8381,0.63842,0.70259,0.54095,0.00578,0,0.0014654,0.0014654,0.0014654
