epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.41848,2.49272,6.02508,5.96292,0.01987,8.92254,0.01653,0.01732,0.00566,0.00484,0.01653,0.01732,0.00566,0.00304,2.4406,5.32017,5.85282,0.02559,0,2.66667e-05,2.66667e-05,0.07336
2,10.7504,2.43181,5.62686,5.28853,0.0215,8.50251,0.01653,0.01732,0.00566,0.00484,0.01653,0.01732,0.00566,0.00304,2.4406,5.32017,5.85282,0.02559,0,5.8812e-05,5.8812e-05,0.0400588
3,13.1224,2.03166,4.69544,4.97176,0.01788,7.9335,0.01653,0.01732,0.00566,0.00484,0.01653,0.01732,0.00566,0.00304,2.4406,5.32017,5.85282,0.02559,0,8.96373e-05,8.96373e-05,0.0067563
4,15.5977,2.42378,5.83441,4.99162,0.01996,7.77388,0.06872,0.11255,0.0318,0.01832,0.07048,0.11544,0.02834,0.01601,1.92051,4.29365,5.72859,0.02047,0,9.406e-05,9.406e-05,9.406e-05
5,17.9089,2.39127,5.31847,4.9984,0.02142,8.13282,0.06872,0.11255,0.0318,0.01832,0.07048,0.11544,0.02834,0.01601,1.92051,4.29365,5.72859,0.02047,0,9.208e-05,9.208e-05,9.208e-05
6,20.2332,2.22469,5.39385,5.0232,0.0207,7.42304,0.06872,0.11255,0.0318,0.01832,0.07048,0.11544,0.02834,0.01601,1.92051,4.29365,5.72859,0.02047,0,9.01e-05,9.01e-05,9.01e-05
7,22.5706,2.25473,5.46302,5.22548,0.01847,8.41062,0.1072,0.11833,0.04718,0.03354,0.1059,0.11688,0.04411,0.02916,1.76712,3.95213,5.63021,0.0186,0,8.812e-05,8.812e-05,8.812e-05
8,24.9235,2.18928,4.82089,4.5909,0.01892,7.54728,0.1072,0.11833,0.04718,0.03354,0.1059,0.11688,0.04411,0.02916,1.76712,3.95213,5.63021,0.0186,0,8.614e-05,8.614e-05,8.614e-05
9,27.2593,1.96632,4.44609,4.34167,0.01519,7.18256,0.1072,0.11833,0.04718,0.03354,0.1059,0.11688,0.04411,0.02916,1.76712,3.95213,5.63021,0.0186,0,8.416e-05,8.416e-05,8.416e-05
10,29.6156,2.15066,5.36267,4.45168,0.01929,7.7878,0.15141,0.16595,0.06704,0.04733,0.14683,0.1645,0.06427,0.04105,1.72534,3.93087,5.39183,0.01789,0,8.218e-05,8.218e-05,8.218e-05
11,32.1414,2.37352,5.83917,5.22317,0.02023,8.18028,0.15141,0.16595,0.06704,0.04733,0.14683,0.1645,0.06427,0.04105,1.72534,3.93087,5.39183,0.01789,0,8.02e-05,8.02e-05,8.02e-05
12,34.5249,2.32757,5.28573,5.08704,0.02308,8.91997,0.15141,0.16595,0.06704,0.04733,0.14683,0.1645,0.06427,0.04105,1.72534,3.93087,5.39183,0.01789,0,7.822e-05,7.822e-05,7.822e-05
13,36.9247,2.15426,4.99818,4.81361,0.01531,7.26328,0.17723,0.20779,0.09027,0.06279,0.17353,0.20346,0.08763,0.05438,1.69585,4.02407,5.14727,0.01746,0,7.624e-05,7.624e-05,7.624e-05
14,39.3119,1.91965,4.53956,3.91316,0.01256,6.2058,0.17723,0.20779,0.09027,0.06279,0.17353,0.20346,0.08763,0.05438,1.69585,4.02407,5.14727,0.01746,0,7.426e-05,7.426e-05,7.426e-05
